CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-EEPC2023-004;EEPC;EEP;25/08/2023;01/11/2023 al 31/12/2037;25/08/2023;8/09/2023;6/10/2023;20/10/2023;10/11/2023;Cerrada y adjudicada;Regulado;NO;;;;14/11/2023
CP-EPSC2023-002;EPSC;CELSIA Colombia;23/08/2023;01/01/2024 al 31/12/2028;24/08/2023;14/09/2023;12/10/2023;25/10/2023;10/11/2023;Cerrada y adjudicada;Regulado;NO;;;;23/11/2023
CP-HLAC2023-003;HLAC;ELECTROHUILA;29/08/2023;01/12/2023 al 31/12/2037;30/08/2023;13/09/2023;11/10/2023;25/10/2023;17/11/2023;Cerrada y desierta;Regulado;NO;;;;27/10/2023
CP-NEUC2023-004;NEUC;NEU;5/09/2023;01/01/2024 al 31/12/2028;5/09/2023;13/09/2023;11/10/2023;25/10/2023;17/11/2023;Cerrada y desierta;Regulado;NO;;;;27/10/2023
CP-EVSC2023-001;EVSC;EMEVASI;25/08/2023;01/01/2024 al 31/12/2026;25/08/2023;15/09/2023;13/10/2023;27/10/2023;15/11/2023;Cerrada y adjudicada;Regulado;NO;;;;4/12/2023
CP-EDQC2023-002;EDQC;EDEQ;28/08/2023;15/12/2023 al 31/12/2027;29/08/2023;15/09/2023;13/10/2023;27/10/2023;17/11/2023;Cerrada y adjudicada;Regulado;NO;;;;28/11/2023
CP-BIAC2023-006;BIAC;BIAE;5/09/2023;01/12/2023 al 31/12/2025;5/09/2023;18/09/2023;17/10/2023;27/10/2023;10/11/2023;Cerrada y adjudicada;Regulado;NO;;;;17/11/2023
CP-CHCC2023-002;CHCC;CHEC;25/08/2023;01/01/2024 al 31/12/2032;29/08/2023;19/09/2023;19/10/2023;1/11/2023;24/11/2023;Cerrada y adjudicada;Regulado;NO;;;;15/12/2023
CP-CMMC2023-002;CMMC;CARIBEMAR;18/09/2023;07/12/2023 al 31/12/2037;18/09/2023;27/09/2023;26/10/2023;6/11/2023;10/11/2023;Cerrada y adjudicada;Regulado;NO;;;;22/11/2023
CP-EBPC2023-005;EBPC;BAJO PUTUMAYO;6/09/2023;01/01/2029 al 31/12/2033;7/09/2023;27/09/2023;26/10/2023;9/11/2023;1/12/2023;Cancelada;Regulado;NO;;;2/10/2023;
